pubid,gsid,univ
10034744959638419594,O9teRZsAAAAJ,Texas A&M University
10035590728262203705,W6gQqWcAAAAJ,University of California - Berkeley
10035649177359185533,t0j3HjcAAAAJ,University of Texas at Dallas
10036912663058947252,R1JyT9AAAAAJ,Brigham Young University
10037181398591649159,67kghxAAAAAJ,University of California - Berkeley
1003731872658732561,VbruE20AAAAJ,Univ. of Illinois at Urbana-Champaign
10037334623230834546,cl7CnNYAAAAJ,University of California - Santa Barbara
10038829765483158003,sm9xJEkAAAAJ,Rutgers University
10039145628350766244,syv4e-EAAAAJ,Duke University
1003930319751073413,Y063_CIAAAAJ,Stony Brook University
10039628231297860805,bqkhX54AAAAJ,Purdue University
1003995084290241544,D0pzuNoAAAAJ,Binghamton University
10041430290773563330,KqtBi6MAAAAJ,University of North Carolina
10041754127775028960,pCOmTY0AAAAJ,Rochester Institute of Technology
10042311179030433114,a8jIPIkAAAAJ,Massachusetts Institute of Technology
10043308701218105439,AhgjQ2QAAAAJ,University of California - Berkeley
10043333839263845403,56UT_6IAAAAJ,Brandeis University
1004363627739347257,TW6dnZUAAAAJ,Rice University
10043656294480346967,VBXG4CwAAAAJ,University of California - Los Angeles
10044410972786814018,8kA3eDwAAAAJ,Georgia Institute of Technology
10046018708955710132,IJgXsgwAAAAJ,University of California - Berkeley
10046018708955710132,xmdNUEcAAAAJ,Northeastern University
10046192318499292102,aWQabOQAAAAJ,University of California - San Diego
10046192318499292102,ZfDtNpUAAAAJ,University of California - San Diego
1004692601447536462,hz1S-asAAAAJ,University of Chicago
10047805873762486202,BCxFU0EAAAAJ,University of Iowa
10047857704454894174,BZGj6sAAAAAJ,Texas A&M University
10048157168240432483,rDfyQnIAAAAJ,Stanford University
10048157168240432483,TB5OwW8AAAAJ,Princeton University
10048366482836370842,VGoSakQAAAAJ,University of Chicago
10049997532517143307,AnCg3JwAAAAJ,University of Nevada Las Vegas
10051736596893063627,jald9mcAAAAJ,Montana State University
