gsid,name,university
1LuGqFQAAAAJ,Peter Szolovits,Massachusetts Institute of Technology
1LUuMc8AAAAJ,Andréa W. Richa,Arizona State University
1MK2_tMAAAAJ,Rob Miller 0001,Massachusetts Institute of Technology
1mMmqs4AAAAJ,Hongwei Xi,Boston University
1NTSe1wAAAAJ,Yun S. Song,University of California - Berkeley
1P8Zu04AAAAJ,Hao Su,University of California - San Diego
1pnbx9QAAAAJ,Rebecca A. Hutchinson,Oregon State University
1rPSVNAAAAAJ,Kostas Alexis,University of Nevada
1rV69hMAAAAJ,Abhradeep Guha Thakurta,University of California - Santa Cruz
1rV69hMAAAAJ,Abhradeep Thakurta,University of California - Santa Cruz
1SIKS28AAAAJ,Ashwin Ashok,Georgia State University
1SJPBDAAAAAJ,Henry R. Childs,University of Oregon
1sMNiJIAAAAJ,Richard Souvenir,Temple University
1UbzzQcAAAAJ,Rahul Sarpeshkar,Massachusetts Institute of Technology
_1VlI00AAAAJ,Heng Yin,University of California - Riverside
1vwuDM4AAAAJ,Vladimir Kolesnikov,Georgia Institute of Technology
1W7pOqkAAAAJ,Yuanlin Zhang,Texas Tech University
1xfwEBAAAAAJ,Amelia Regan,University of California - Irvine
1zmDOdwAAAAJ,Christopher D. Manning,Stanford University
200KNLAAAAAJ,Thomas D. LaToza,George Mason University
208pw6sAAAAJ,Mary W. Hall,University of Utah
221a1fkAAAAJ,Christopher L. Barrett,Virginia Tech
29Tc_lEAAAAJ,Hassan Ghasemzadeh,Washington State University
2a5XgNAAAAAJ,Zsolt Kira,Georgia Institute of Technology
2Bc3UN4AAAAJ,Robert T. Collins,Pennsylvania State University
2BK-UYQAAAAJ,Eli Blevis,Indiana University
2Dz330cAAAAJ,Yiying Tong,Michigan State University
2efgcS0AAAAJ,Jiajun Wu 0001,Stanford University
2elL3HgAAAAJ,Shengzhi Zhang,Florida Institute of Technology
2eM6GocAAAAJ,Giovanni Vigna,University of California - Santa Barbara
-2ePFEwAAAAJ,Dina Sokol,CUNY
2ewb-10AAAAJ,Maria L. Gini,University of Minnesota
2F-jTfEAAAAJ,Yi Pan 0001,Georgia State University
2FlUClkAAAAJ,Anil N. Hirani,Univ. of Illinois at Urbana-Champaign
2ftJYXMAAAAJ,Roy H. Campbell,Univ. of Illinois at Urbana-Champaign
2GH5rWkAAAAJ,Xiuwen Liu,Florida State University
2gpXz3IAAAAJ,Leana Golubchik,University of Southern California
2hemeGMAAAAJ,Tiffany M. Barnes,North Carolina State University
2iXwFdsAAAAJ,Abtin Rahimian,University of Colorado Boulder
2jEFz5EAAAAJ,Dorian C. Arnold,Emory University
2JMaTKsAAAAJ,Ben Langmead,Johns Hopkins University
2kkddh0AAAAJ,Benjamin C. Pierce,University of Pennsylvania
2kpYWtEAAAAJ,Daniel A. Epstein,University of California - Irvine
2kwHHWMAAAAJ,Milos Zefran,University of Illinois at Chicago
2kXsgI4AAAAJ,Chita R. Das,Pennsylvania State University
2lfRQF8AAAAJ,Xiaoning Ding,NJIT
2lPABNoAAAAJ,Grace Wahba,University of Wisconsin - Madison
2lZr6WsAAAAJ,Alin Deutsch,University of California - San Diego
2M8BWDkAAAAJ,Andreas Stathopoulos,College of William and Mary
2mjUsP8AAAAJ,Srinivasan Parthasarathy 0001,Ohio State University
2m-u_KoAAAAJ,Zhigang Zhu,CUNY
2Nz2U0kAAAAJ,Tom Shrimpton,University of Florida
2oclnIwAAAAJ,Matt Bishop,University of California - Davis
2OJOZTUAAAAJ,Boleslaw K. Szymanski,Rensselaer Polytechnic Institute
2oSSsLYAAAAJ,Rick Stevens,University of Chicago
2P1kinAAAAAJ,Vagelis Papalexakis,University of California - Riverside
2pH8BZwAAAAJ,Emily Mower,University of Michigan
2pW1g5IAAAAJ,Mihir Bellare,University of California - San Diego
2PxFftgAAAAJ,John T. Stasko,Georgia Institute of Technology
2R1w6xwAAAAJ,Ragib Hasan,University of Alabama - Birmingham
2s9_ZWgAAAAJ,Sariel Har-Peled,Univ. of Illinois at Urbana-Champaign
2SmbjHAAAAAJ,Risto Miikkulainen,University of Texas at Austin
2T3H4ekAAAAJ,Amit P. Sheth,University of South Carolina
2uHUSa8AAAAJ,Martin Farach,Rutgers University
_2UkAYEAAAAJ,Jim Whitehead,University of California - Santa Cruz
2vQRGrYAAAAJ,David R. Karger,Massachusetts Institute of Technology
2VvQrz0AAAAJ,Bedrich Benes,Purdue University
2vZ5zRQAAAAJ,Niki Kittur,Carnegie Mellon University
2WeXBokAAAAJ,Bonita Sharif,University of Nebraska
2wJaIkEAAAAJ,Zachary G. Ives,University of Pennsylvania
2X6fAZgAAAAJ,Zhi-Li Zhang,University of Minnesota
2XCryp4AAAAJ,Alessandro Acquisti,Carnegie Mellon University
2Y4R04EAAAAJ,Benjamin A. Carterette,University of Delaware
2ZHGNCUAAAAJ,Barbara M. Chapman,Stony Brook University
30pCSfEAAAAJ,Nathan Fisher,Wayne State University
318GQ54AAAAJ,Curtis E. Dyreson,Utah State University
36HRdqMAAAAJ,Chris Harrison,Carnegie Mellon University
36SCzI0AAAAJ,Ioannis A. Kakadiaris,University of Houston
