gsid,name,university
c-LG6-MAAAAJ,Sidney K. D'Mello,University of Colorado Boulder
Cln2viUAAAAJ,Laurie Williams,North Carolina State University
cLssJjcAAAAJ,Jia Rao,University of Texas at Arlington
CmoKVuUAAAAJ,Amir Ali Ahmadi,Princeton University
Cmr9ljkAAAAJ,Claire Le Goues,Carnegie Mellon University
C-NftTgAAAAJ,B. Aditya Prakash,Virginia Tech
CnkkNpsAAAAJ,Andy Podgurski,Case Western Reserve University
cNLW5O4AAAAJ,Akane Sano,Rice University
CO7nYfIAAAAJ,Daniel Wichs,Northeastern University
co8JfCAAAAAJ,Soner Önder,Michigan Technological University
COjq9XUAAAAJ,Henry Hoffmann,University of Chicago
CpBXPVoAAAAJ,Nikil Dutt,University of California - Irvine
cpgUf6wAAAAJ,Ehsan Elhamifar,Northeastern University
CQcd1cQAAAAJ,Dongyan Xu,Purdue University
CqH_t6MAAAAJ,Junier B. Oliva,University of North Carolina
cQz8z1gAAAAJ,Xiaobo Zhou 0002,Univ. of Colorado Colorado Springs
C_r8d0AAAAAJ,Elena L. Glassman,Harvard University
CsGlDGEAAAAJ,S. M. Shahriar Nirjon,University of North Carolina
ct2hw4UAAAAJ,Haipeng Luo,University of Southern California
cTTFHNwAAAAJ,Amir Houman Sadr,University of Massachusetts Amherst
CTXoO1AAAAAJ,Mary Shaw,Carnegie Mellon University
cuA3CkgAAAAJ,Madhusudhan Govindaraju,Binghamton University
CUbC2zYAAAAJ,Aws Albarghouthi,University of Wisconsin - Madison
CuIuzUsAAAAJ,Mehmet Hadi Günes,Stevens Institute of Technology
CujCxdYAAAAJ,Lei Xie 0006,CUNY
CUkAtC4AAAAJ,Roman Garnett,Washington University in St. Louis
CUO0vDcAAAAJ,Klara Nahrstedt,Univ. of Illinois at Urbana-Champaign
cVDF1tkAAAAJ,Hui Xiong,Rutgers University
cVLicJYAAAAJ,Mohsen Lesani,University of California - Riverside
cVTdh_sAAAAJ,Xiaowei Yang,Duke University
C-wDOskAAAAJ,Weiyi Meng,Binghamton University
CwFX74MAAAAJ,Jyotirmoy V. Deshmukh,University of Southern California
CX9Lu38AAAAJ,Jan-Willem van de Meent,Northeastern University
CXAN0i0AAAAJ,Prasad Tadepalli,Oregon State University
CxIxSBEAAAAJ,Ian A. Kash,University of Illinois at Chicago
Cxwj5hEAAAAJ,Shriram Krishnamurthi,Brown University
cxxGur8AAAAJ,Sudha Ram,University of Arizona
CxzUX0EAAAAJ,Nadia Polikarpova,University of California - San Diego
CyGvFJkAAAAJ,Beth Plale,Indiana University
cYReSuEAAAAJ,Ben Y. Zhao,University of Chicago
cYTgpmEAAAAJ,Devorah Kletenik,CUNY
CYwffSUAAAAJ,Abusayeed Saifullah,Wayne State University
CZyWk8kAAAAJ,Lixia Zhang 0001,University of California - Los Angeles
d0JcWVIAAAAJ,Anne R. Haake,Rochester Institute of Technology
d0KQ9z0AAAAJ,Guy Van den Broeck,University of California - Los Angeles
D0lL1r0AAAAJ,Philip S. Yu,University of Illinois at Chicago
D0pzuNoAAAAJ,Shiqi Zhang,Binghamton University
d1KEK84AAAAJ,Trevor N. Mudge,University of Michigan
D2K-ADYAAAAJ,Philip Brighten Godfrey,Univ. of Illinois at Urbana-Champaign
D2P2B0MAAAAJ,Christopher M. Jermaine,Rice University
d3Xr2dcAAAAJ,Erin Treacy Solovey,Drexel University
d5PqNPgAAAAJ,David E. Breen,Drexel University
D6fp6_cAAAAJ,Warren A. Hunt Jr.,University of Texas at Austin
d6gfNpIAAAAJ,Maria Hybinette,University of Georgia
D6ptFeMAAAAJ,Matthew K. Franklin,University of California - Davis
D8iiWtEAAAAJ,Richard Hughey,University of California - Santa Cruz
d97bGd8AAAAJ,Alyosha A. Efros,University of California - Berkeley
D9LfKkAe7d0C,Casey Fiesler,University of Colorado Boulder
d9Y04UwAAAAJ,W. Eric Wong,University of Texas at Dallas
dACRUjgAAAAJ,Robin Kravets,Univ. of Illinois at Urbana-Champaign
Da-s1FQAAAAJ,K. K. Ramakrishnan,University of California - Riverside
Db4BCX8AAAAJ,Noah Snavely,Cornell University
DB5xu7gAAAAJ,Zhenhai Duan,Florida State University
DbDbLZEAAAAJ,Yaniv Erlich,Columbia University
DbZWZr8AAAAJ,Neil Immerman,University of Massachusetts Amherst
dCEcahMAAAAJ,Eunsol Choi,University of Texas at Austin
DCSFMuAAAAAJ,Michael Posa,University of Pennsylvania
DcV-5RAAAAAJ,Kannan Ramchandran,University of California - Berkeley
dd1qLRcAAAAJ,Christopher G. Healey,North Carolina State University
Dd2SKGAAAAAJ,Philip J. Hatcher,University of New Hampshire
DdNAgNwAAAAJ,Laura Dabbish,Carnegie Mellon University
DdRsMKsAAAAJ,Jihun Hamm,Tulane University
dDwXNpYAAAAJ,Peter Z. Revesz,University of Nebraska
DDxFvcIAAAAJ,Magdalena Balazinska,University of Washington
deLqgtMAAAAJ,Sunita Chandrasekaran,University of Delaware
dgBh0UMAAAAJ,Ross A. Knepper,Cornell University
dgRIYXIAAAAJ,Reza Rejaie,University of Oregon
dGs2BcIAAAAJ,Kostas Daniilidis,University of Pennsylvania
DGxl9iUAAAAJ,Robert G. Reynolds,Wayne State University
dhPGPoIAAAAJ,Pedro Lopes 0001,University of Chicago
DHruBmIAAAAJ,Dakai Zhu 0001,University of Texas at San Antonio
DhwC8gsAAAAJ,Abolfazl Razi,Northern Arizona University
dhwyJggAAAAJ,Denis Gracanin,Virginia Tech
DI23xwMAAAAJ,Jyh-Charn Liu,Texas A&M University
DI8bU-0AAAAJ,M. Gopi,University of California - Irvine
dIJFcaoAAAAJ,Caroline Uhler,Massachusetts Institute of Technology
dIOCe1UAAAAJ,Pavel Panchekha,University of Utah
di_T0vwAAAAJ,Robert Soulé,Yale University
DJ-5kAcAAAAJ,Andrey N. Chernikov,Old Dominion University
DJ6--hMAAAAJ,Nickolai Zeldovich,Massachusetts Institute of Technology
dJ-fD-sAAAAJ,Geoffrey Charles Fox,Indiana University
Dj-kPasAAAAJ,Joshua Clifford Bongard,University of Vermont
D_JpQnAAAAAJ,Matthew T. Mason,Carnegie Mellon University
dK2ZuDcAAAAJ,Yuan Xie 0001,University of California - Santa Barbara
DK7TEvkAAAAJ,Peter Steenkiste,Carnegie Mellon University
DKfEcuEAAAAJ,Lior Pachter,California Institute of Technology
dKJr2vwAAAAJ,Kalpathi R. Subramanian,UNC - Charlotte
DKuq2fIAAAAJ,Ravi Chugh,University of Chicago
Dl0puDcAAAAJ,Muhammad Salman Asif,University of California - Riverside
Dl0vAp8AAAAJ,Jeff Trinkle,Rensselaer Polytechnic Institute
dlV-qnUAAAAJ,Walter J. Scheirer,University of Notre Dame
dmCZvnsAAAAJ,Neil T. Heffernan,Worcester Polytechnic Institute
dmhWxJgAAAAJ,Aniket Kate,Purdue University
dnbSFbUAAAAJ,David E. Kieras,University of Michigan
DnnCWN0AAAAJ,Christopher Ré,Stanford University
Dn_qYK8AAAAJ,Tony Jebara,Columbia University
dOaERUAAAAAJ,Jim Alves-Foss,University of Idaho
dojdbWYAAAAJ,Seda Ogrenci,Northwestern University
dok0514AAAAJ,David Chiang 0001,University of Notre Dame
dp5LnVAAAAAJ,Odest Chadwicke Jenkins,University of Michigan
dPX0wQcAAAAJ,Tamara Broderick,Massachusetts Institute of Technology
DPxLTGgAAAAJ,Joshua R. Smith,University of Washington
dq2wG-AAAAAJ,Romit Roy Choudhury,Univ. of Illinois at Urbana-Champaign
DQaARsgAAAAJ,Moshe Y. Vardi,Rice University
DqCFHY8AAAAJ,Caitlin L. Kelleher,Washington University in St. Louis
dQwv9e4AAAAJ,Eric Allender,Rutgers University
dRc-rTAAAAAJ,Yan Huang 0002,University of North Texas
DRt16WsAAAAJ,Eleanor O'Rourke,Northwestern University
DRvJPxcAAAAJ,Manuel Egele,Boston University
D-RwB3YAAAAJ,Madhu Sudan,Harvard University
d_rxnzAAAAAJ,Aditya Akella,University of Wisconsin - Madison
ds52UHcAAAAJ,William S. Cleveland,Purdue University
DS6rCasAAAAJ,Guoqing Harry Xu,University of California - Los Angeles
DSEH8XsAAAAJ,Yin Zhang 0001,University of Texas at Austin
dShqnssAAAAJ,Gabor Karsai,Vanderbilt University
DSLquxEAAAAJ,Junghoo Cho,University of California - Los Angeles
dSLXaKUAAAAJ,Md. Endadul Hoque,Syracuse University
Dswus94AAAAJ,J. Gregory Morrisett,Cornell University
dT7yOrwAAAAJ,Lorenzo Orecchia,University of Chicago
dtaR0JYAAAAJ,Cindy Xinmin Chen,University of Massachusetts Lowell
DTjqn9QAAAAJ,Karl Crary,Carnegie Mellon University
DTthB48AAAAJ,Vladimir Braverman,Johns Hopkins University
dufShEsAAAAJ,Nuno Bandeira,University of California - San Diego
DulpV-cAAAAJ,Daniel M. Kane,University of California - San Diego
duOys3YAAAAJ,Hadas Kress-Gazit,Cornell University
dv7u9JgAAAAJ,Grigory Fedyukovich,Florida State University
DVLQDSoAAAAJ,Birhanu Eshete,University of Michigan-Dearborn
d-VnBn8AAAAJ,Na Meng,Virginia Tech
dvvN6qsAAAAJ,Wenyao Xu,University at Buffalo
dVZNQqUAAAAJ,Peter M. Chen,University of Michigan
DWKoeW0AAAAJ,Chien-Ju Ho,Washington University in St. Louis
DWPfdT4AAAAJ,Joshua T. Vogelstein,Johns Hopkins University
DWv0xG0AAAAJ,Qinru Qiu,Syracuse University
DxoenfgAAAAJ,Michael Collins 0001,Columbia University
DxQiCiIAAAAJ,Ahmed Elgammal,Rutgers University
DxQiCiIAAAAJ,Ahmed M. Elgammal,Rutgers University
dXUl8ewAAAAJ,Sayan Mitra,Univ. of Illinois at Urbana-Champaign
dYGSG4EAAAAJ,Amr Sabry,Indiana University
dywFuRMAAAAJ,Barton P. Miller,University of Wisconsin - Madison
Dyxv_DQAAAAJ,Catherine Blake,Univ. of Illinois at Urbana-Champaign
Dzf46C8AAAAJ,Huan Liu 0001,Arizona State University
Dzh5C9EAAAAJ,N. M. Mosharaf Kabir Chowdhury,University of Michigan
_dzO69sAAAAJ,Gail-Joon Ahn,Arizona State University
dzOd2hgAAAAJ,Philipp Krähenbühl,University of Texas at Austin
E0NwK2AAAAAJ,Hovav Shacham,University of Texas at Austin
E1cp_aYAAAAJ,Brad A. Myers,Carnegie Mellon University
E3APGcgAAAAJ,Facundo Mémoli,Ohio State University
e3_l6fwAAAAJ,Zhishan Guo,University of Central Florida
E3oBkwwAAAAJ,Ioannis T. Pavlidis,University of Houston
_e3QL94AAAAJ,Rob Knight,University of California - San Diego
E4kvshMAAAAJ,Carrick Detweiler,University of Nebraska
_e5H8IoAAAAJ,Atri Rudra,University at Buffalo
e6C_dHAAAAAJ,Colin Ware,University of New Hampshire
e7V7-gEAAAAJ,Mark Horowitz,Stanford University
e7VI_HcAAAAJ,Aaron Clauset,University of Colorado Boulder
e8aRmAsAAAAJ,Michael M. Mitzenmacher,Harvard University
e8e5qGcAAAAJ,Norman I. Badler,University of Pennsylvania
e9qUUSgAAAAJ,Laura M. Haas,University of Massachusetts Amherst
ea6cjVUAAAAJ,John E. Laird,University of Michigan
EaaOeJwAAAAJ,Sanmi Koyejo,Univ. of Illinois at Urbana-Champaign
EaBF6r0AAAAJ,Lars Ruthotto,Emory University
EAQfVXgAAAAJ,Marine Carpuat,University of Maryland - College Park
eBqftc8AAAAJ,Robert Bruce Findler,Northwestern University
eCXMUQEAAAAJ,Michalis Faloutsos,University of California - Riverside
EDC2EP0AAAAJ,Janyce Wiebe,University of Pittsburgh
eEOX_EoAAAAJ,Enrique Dunn,Stevens Institute of Technology
eEqTPcwAAAAJ,Mariya Zheleva,University at Albany - SUNY
EetL2HQAAAAJ,Rance Cleaveland,University of Maryland - College Park
EeYGZCwAAAAJ,Cameron Musco,University of Massachusetts Amherst
eEYPTKUAAAAJ,Roberto Tamassia,Brown University
Ef1hJ8IAAAAJ,Vivek K. Singh,Rutgers University
EFB9ZuwAAAAJ,Rangachar Kasturi,University of South Florida
EFCJtEwAAAAJ,Susan Hohenberger,Johns Hopkins University
eFeqk8EAAAAJ,Wei Ding 0003,University of Massachusetts Boston
efsT3ykAAAAJ,Venkatesh-Prasad Ranganath,Kansas State University
EfuT9RoAAAAJ,Elisa Bertino,Purdue University
EGBMBTwAAAAJ,Miaomiao Zhang,Washington University in St. Louis
eG-C3JIAAAAJ,Slobodan Vucetic,Temple University
ege5vzMAAAAJ,John F. Hughes,Brown University
EGjxtngAAAAJ,Eduardo Bonelli,Stevens Institute of Technology
egs3G64AAAAJ,Daniel Andresen,Kansas State University
EhCg54EAAAAJ,Timothy Zhu,Pennsylvania State University
eHhHOD0AAAAJ,Gordon S. Novak,University of Texas at Austin
EhodjeAAAAAJ,Calvin Newport,Georgetown University
ei4UVscAAAAJ,Nirnimesh Ghose,University of Nebraska
eiqD0hoAAAAJ,Brian P. Bailey,Univ. of Illinois at Urbana-Champaign
EiXpVxwAAAAJ,Ross Tate,Cornell University
eIYoeT4AAAAJ,Clayton H. Lewis,University of Colorado Boulder
eJb_HTEAAAAJ,Asif Salekin,Syracuse University
EjLI14IAAAAJ,Kien A. Hua,University of Central Florida
ejWHC-cAAAAJ,Mohammad Abdullah Al Faruque,University of California - Irvine
EJXN6tYAAAAJ,Tuo Zhao,Georgia Institute of Technology
ElJBmvgAAAAJ,Nilanjan Banerjee,Univ. of Maryland - Baltimore County
ELMp9FMAAAAJ,Truong X. Nghiem,Northern Arizona University
ElqwScwAAAAJ,George Karypis,University of Minnesota
El-R5MEAAAAJ,Hernisa Kacorri,University of Maryland - College Park
emeq3i8AAAAJ,Abdullah Uz Tansel,CUNY
EMYV8cEAAAAJ,Josiah D. Hester,Northwestern University
EnCwNycAAAAJ,Arvind Krishnamurthy,University of Washington
enjXdH4AAAAJ,Ilya Nemenman,Emory University
ENLTjooAAAAJ,Ioannis Stamos,CUNY
eNONM8AAAAAJ,Sundaraja Sitharama Iyengar,Florida International University
EnrEVb0AAAAJ,Jyh-Ming Lien,George Mason University
ENsrFlsAAAAJ,Mark Heinrich,University of Central Florida
eO71_M8AAAAJ,Jerry Alan Fails,Boise State University
eoRn6NkAAAAJ,Dongyoon Lee,Stony Brook University
EoypoXAAAAAJ,Chengyu Song,University of California - Riverside
ePiPQ2cAAAAJ,Erik B. Sudderth,University of California - Irvine
EpQ_sDEAAAAJ,Greg Durrett,University of Texas at Austin
eq4egiwAAAAJ,Tevfik Bultan,University of California - Santa Barbara
EqetexsAAAAJ,David J. Kriegman,University of California - San Diego
EqKRQ4YAAAAJ,Alan M. Frieze,Carnegie Mellon University
eqs6v1wAAAAJ,Norman Makoto Su,Indiana University
equOxc0AAAAJ,Hari Sundar,University of Utah
ErabYRMAAAAJ,Kai Zeng 0002,George Mason University
Er-gEaoAAAAJ,John H. Reif,Duke University
eRQZhUAAAAAJ,Guo Freeman,Clemson University
Es6jE1kAAAAJ,Venkatesan Guruswami,Carnegie Mellon University
EsJmgf4AAAAJ,Alexander Russell,University of Connecticut
Es-YRKMAAAAJ,Alan W. Black,Carnegie Mellon University
eTFiw7wAAAAJ,David W. Juedes,Ohio University
EtfPm7EAAAAJ,Luís Pina,University of Illinois at Chicago
ETFTMZMAAAAJ,Jason M. O'Kane,University of South Carolina
eTISRJ0AAAAJ,Heechul Yun,University of Kansas
EUMYhUvzt6IC,Ram Nevatia,University of Southern California
EVaSxlkAAAAJ,Guoning Chen,University of Houston
Evgx6UkAAAAJ,Alexandr Andoni,Columbia University
eVJ6NTIAAAAJ,Marshini Chetty,University of Chicago
ewrrvq8AAAAJ,Alex Groce,Northern Arizona University
EWU0STsAAAAJ,Moinuddin K. Qureshi,Georgia Institute of Technology
ex9BQiIAAAAJ,Claire Cardie,Cornell University
ExEEjcQAAAAJ,Matthew K. Farrens,University of California - Davis
ExgxufEAAAAJ,Adam J. Aviv,George Washington University
eXKdSu0AAAAJ,Yanjun Qi,University of Virginia
ey960FIAAAAJ,Benjamin M. Marlin,University of Massachusetts Amherst
eYA1nLIAAAAJ,Joshua A. Levine,University of Arizona
EyAD66UAAAAJ,Barry W. Boehm,University of Southern California
eycXl_QAAAAJ,Song Wang 0002,University of South Carolina
EYo_WkEAAAAJ,Sonia Chernova,Georgia Institute of Technology
eyrxuzsAAAAJ,Hyoseung Kim,University of California - Riverside
EyZJ08MAAAAJ,Giuseppe Ateniese,Stevens Institute of Technology
eZr-ai0AAAAJ,Seth Cooper,Northeastern University
Ezrt3pkAAAAJ,Maurice Herlihy,Brown University
f28F1YUAAAAJ,Joydeep Biswas,University of Texas at Austin
F2TyKRgAAAAJ,Engin Arslan,University of Nevada
f2Y5nygAAAAJ,Guodong Guo,West Virginia University
f2y_I24AAAAJ,Yuliang Zheng,University of Alabama - Birmingham
f3g5oeEAAAAJ,Sean Follmer,Stanford University
f3zWwqsAAAAJ,Craig E. Wills,Worcester Polytechnic Institute
F4tTgLQAAAAJ,Yalin Wang 0001,Arizona State University
f5CUbRIAAAAJ,Arunava Banerjee,University of Florida
f6cjEJcAAAAJ,R. Paul Wiegand,University of Central Florida
f6JF7BkAAAAJ,Shachar Lovett,University of California - San Diego
F6LzqwMAAAAJ,William L. Scherlis,Carnegie Mellon University
f6terwoAAAAJ,Tudor Dumitras,University of Maryland - College Park
f8FjAtMAAAAJ,Carlo Zaniolo,University of California - Los Angeles
F9kqUXkAAAAJ,Phillip B. Gibbons,Carnegie Mellon University
FaGbxW0AAAAJ,Haoqi Zhang,Northwestern University
_Fah5fwAAAAJ,Alex Pothen,Purdue University
faldcbwAAAAJ,Xinming Simon Ou,University of South Florida
FaOZ6EMAAAAJ,Ross T. Whitaker,University of Utah
fArWdfAAAAAJ,Adam W. Bargteil,Univ. of Maryland - Baltimore County
fasXmPQAAAAJ,Neelam Soundarajan,Ohio State University
fAw_t5EAAAAJ,Roger Dean Chamberlain,Washington University in St. Louis
FaY_RgsAAAAJ,Cristina V. Lopes,University of California - Irvine
FBIbhGoAAAAJ,R. Sekar,Stony Brook University
FbUhdYYAAAAJ,Eric Mercer,Brigham Young University
FClnlsgAAAAJ,William H. Sanders,Univ. of Illinois at Urbana-Champaign
FDBb8LEAAAAJ,Danny Kopec,CUNY
fDdcWBEAAAAJ,Arie E. Kaufman,Stony Brook University
FDu4ciwAAAAJ,Jacob D. Abernethy,Georgia Institute of Technology
FEnuzckAAAAJ,Lining Yao,Carnegie Mellon University
fEYp6hEAAAAJ,Tomasz Imielinski,Rutgers University
fez4ulcAAAAJ,Dana S. Nau,University of Maryland - College Park
fF1B7mAAAAAJ,Terrance E. Boult,Univ. of Colorado Colorado Springs
ff1RkwcAAAAJ,Yan Shoshitaishvili,Arizona State University
Ff6era8AAAAJ,Luis Gravano,Columbia University
ffdt7gMAAAAJ,Alexander T. Ihler,University of California - Irvine
FgfwY_UAAAAJ,I. V. Ramakrishnan,Stony Brook University
FgpHWKYAAAAJ,Shuang Hao,University of Texas at Dallas
FGs9EMwAAAAJ,Alex Rasin,DePaul University
FH9nKOAAAAAJ,Roy Fox,University of California - Irvine
fH_ea0kAAAAJ,Yuzhen Ye,Indiana University
FHGBC58AAAAJ,Jacob William Crandall,Brigham Young University
fi4HWW8AAAAJ,Razvan C. Bunescu,Ohio University
FI5-sZEAAAAJ,Shahram Ghandeharizadeh,University of Southern California
fi756TwAAAAJ,Laura E. Brown,Michigan Technological University
_fiHvDAAAAAJ,George C. Necula,University of California - Berkeley
fIoDWp8AAAAJ,Jack Snoeyink,University of North Carolina
FJ7im7AAAAAJ,Immanuel Trummer,Cornell University
fJ7seq0AAAAJ,Junsong Yuan,University at Buffalo
F_J8QyAAAAAJ,Randall D. Beer,Indiana University
FJ-huxgAAAAJ,Alan Loddon Yuille,Johns Hopkins University
FJ-huxgAAAAJ,Alan L. Yuille,Johns Hopkins University
fJxwllcAAAAJ,Jack C. Wileden,University of Massachusetts Amherst
FKAovywAAAAJ,Pratap Tokekar,University of Maryland - College Park
fKESO6sAAAAJ,Kobus Barnard,University of Arizona
f_kGJwkAAAAJ,Filippo Menczer,Indiana University
fKoTRs8AAAAJ,Sanguthevar Rajasekaran,University of Connecticut
F-kvxQoAAAAJ,Andre Scedrov,University of Pennsylvania
flCzpwcAAAAJ,Clay Shields,Georgetown University
FLmgLo0AAAAJ,Kristin J. Dana,Rutgers University
Flmif3gAAAAJ,Weili Wu,University of Texas at Dallas
fMJwG7MAAAAJ,Naren Ramakrishnan,Virginia Tech
FmrDR68AAAAJ,Kenneth Salisbury,Stanford University
fM-s2vQAAAAJ,Gianluca Stringhini,Boston University
fmsV6nEAAAAJ,Mayur Naik,University of Pennsylvania
fmt12jMAAAAJ,Lori L. Pollock,University of Delaware
fn13u8IAAAAJ,Robert Nowak 0001,University of Wisconsin - Madison
fn3HR4YAAAAJ,Steven P. Reiss,Brown University
Fn5PadcAAAAJ,Jason Mars,University of Michigan
fnE2dSoAAAAJ,Steven Skiena,Stony Brook University
fnVvzq8AAAAJ,Ethan L. Miller,University of California - Santa Cruz
F-o1I5wAAAAJ,Mihran Tuceryan,IUPUI
FoAvSQcAAAAJ,Chun-Hsi Huang,University of Connecticut
FODlT4sAAAAJ,Rudra Dutta,North Carolina State University
FoRBkdsAAAAJ,Mohan Kumar,Rochester Institute of Technology
fpT49d8AAAAJ,Christopher Piech,Stanford University
fq0DzqoAAAAJ,Mark D. M. Leiserson,University of Maryland - College Park
fQ6T_eAAAAAJ,Jessica Ouyang,University of Texas at Dallas
fQQXj1oAAAAJ,Hongxin Hu,Clemson University
FrMOlk8AAAAJ,Rida A. Bazzi,Arizona State University
frOtmtAAAAAJ,Samir R. Das,Stony Brook University
FsBCAfgAAAAJ,Joseph Y. Halpern,Cornell University
fsCnri8AAAAJ,Mohammad Al Hasan,IUPUI
fSQCT0YAAAAJ,John Sampson,Pennsylvania State University
Ft9MrIoAAAAJ,J. S. Marron,University of North Carolina
fU0XrdEAAAAJ,Adrian P. Lauf,University of Louisville
fU8fmEIAAAAJ,James C. Gee,University of Pennsylvania
fUBhhRAAAAAJ,Tevfik Kosar,University at Buffalo
FuOqWNEAAAAJ,Vladimir Lifschitz,University of Texas at Austin
fUTN90MAAAAJ,Vassilis J. Tsotras,University of California - Riverside
FUWxMaQAAAAJ,Neil T. Spring,University of Maryland - College Park
fVaS7a8AAAAJ,Monica S. Lam,Stanford University
FvRFQZ8AAAAJ,Naomi H. Feldman,University of Maryland - College Park
FW-0thoAAAAJ,Sathya N. Ravi,University of Illinois at Chicago
FWp7728AAAAJ,Katerina Fragkiadaki,Carnegie Mellon University
FWPlkI0AAAAJ,Murtuza Jadliwala,University of Texas at San Antonio
fX-IFZsAAAAJ,Jinbo Bi,University of Connecticut
fXqjPDUAAAAJ,Lorne Olfman,Claremont Graduate University
FY4afxkAAAAJ,Haim Levkowitz,University of Massachusetts Lowell
FyeZL14AAAAJ,Eric Torng,Michigan State University
fYOdJ-oAAAAJ,Sanjay V. Rajopadhye,Colorado State University
fyUpZ5EAAAAJ,Hadi Amiri,University of Massachusetts Lowell
FzBDS4gAAAAJ,Thomas M. Conte,Georgia Institute of Technology
FzbNWs4AAAAJ,Viacheslav Fofanov,Northern Arizona University
fzX2e3sAAAAJ,Xiaohui Liang,University of Massachusetts Boston
G0uvNwsAAAAJ,Saraju P. Mohanty,University of North Texas
g3n4IKUAAAAJ,David A. Plaisted,University of North Carolina
G4LSqL8AAAAJ,Olgica Milenkovic,Univ. of Illinois at Urbana-Champaign
G5I0JlwAAAAJ,Weikuan Yu,Florida State University
G6kA1CMAAAAJ,Haesun Park,Georgia Institute of Technology
G6XN5cRm0FIJ,Eric Nyberg,Carnegie Mellon University
G7D5O-0AAAAJ,Christopher D. Gill,Washington University in St. Louis
G7LwKaoAAAAJ,Matthias F. Stallmann,North Carolina State University
g86VLOUAAAAJ,Hamid Reza Arabnia,University of Georgia
g9bV-_sAAAAJ,Jason J. Corso,University of Michigan
g9yS74gAAAAJ,Ting He 0001,Pennsylvania State University
gaDqxaQAAAAJ,Matthew D. Sinclair,University of Wisconsin - Madison
GaKxFrcAAAAJ,Alan Fern,Oregon State University
GaKxFrcAAAAJ,Alan Paul Fern,Oregon State University
GaLP1jkAAAAJ,Hanqi Zhuang,Florida Atlantic University
gaO-vS4AAAAJ,David Yarowsky,Johns Hopkins University
GAqZYGcAAAAJ,Mingming Fan 0001,Rochester Institute of Technology
gaXiAekAAAAJ,Steven M. Nowick,Columbia University
gb2r2ssAAAAJ,Alfred V. Aho,Columbia University
gb8sbdcAAAAJ,Gregory D. Abowd,Georgia Institute of Technology
gBefoakAAAAJ,L. Ridgway Scott,University of Chicago
GcMKuu8AAAAJ,Sangtae Ha,University of Colorado Boulder
gDkEWtYAAAAJ,Renato Mancuso 0001,Boston University
GDkG3T4AAAAJ,Walter D. Potter,University of Georgia
GdYYuwoAAAAJ,Leonard Pitt,Univ. of Illinois at Urbana-Champaign
gf8Ms_8AAAAJ,William Yang Wang,University of California - Santa Barbara
gFb9vegAAAAJ,Martha Mercaldi Kim,Columbia University
gGbT21EAAAAJ,Yao Liu 0001,Binghamton University
ggcCMuIAAAAJ,Viet Tung Hoang,Florida State University
GgKnNwEAAAAJ,Ronald A. Metoyer,University of Notre Dame
GhAaQPwAAAAJ,Daniel Massey,University of Colorado Boulder
gHfzsl4AAAAJ,Mark Oskin,University of Washington
GHGHYZAAAAAJ,Saiph Savage,West Virginia University
GhvZjJUAAAAJ,Benjamin J. Raphael,Princeton University
ghWKWBUAAAAJ,Frank Pfenning,Carnegie Mellon University
GHz1ZVIAAAAJ,Mohamed F. Mokbel,University of Minnesota
gHZTKpkAAAAJ,Ramgopal R. Mettu,Tulane University
Gih-kpUAAAAJ,Jiang Yu Zheng,IUPUI
GIle-VwAAAAJ,David H. Laidlaw,Brown University
gJ3JGSsAAAAJ,Shishir K. Shah,University of Houston
gJ7XMyoAAAAJ,Rinku Dewri,University of Denver
gkACFVcAAAAJ,Luca de Alfaro,University of California - Santa Cruz
Gkc2UeUAAAAJ,Elena Grigorescu,Purdue University
GKvAsQMAAAAJ,Balajee Vamanan,University of Illinois at Chicago
glFPEWIAAAAJ,Harriet J. Fell,Northeastern University
GLjNiI4AAAAJ,Bon K. Sy,CUNY
gLLhIb8AAAAJ,Michael L. Best,Georgia Institute of Technology
gM1DWK8AAAAJ,Alessandra Scafuro,North Carolina State University
GmcChLIAAAAJ,James D. Foley,Georgia Institute of Technology
GM-hJhQAAAAJ,C. S. Raghavendra,University of Southern California
Gmjwy-IAAAAJ,Thamar Solorio,University of Houston
gMndACUAAAAJ,David Lazer,Northeastern University
gMOBKfUAAAAJ,Daisy Zhe Wang,University of Florida
gMQWxE0AAAAJ,Sartaj Sahni,University of Florida
Gn5kfF8AAAAJ,Mark Grechanik,University of Illinois at Chicago
gOOXpw0AAAAJ,T. Kesavadas,Univ. of Illinois at Urbana-Champaign
GP64q_kAAAAJ,Jan M. Rabaey,University of California - Berkeley
GPIB5kUAAAAJ,Stratis Ioannidis,Northeastern University
gPKDZtwAAAAJ,Mark W. Newman,University of Michigan
gq8-LJ8AAAAJ,Golden G. Richard III,University of New Orleans
gqB23VMAAAAJ,Amit Sahai,University of California - Los Angeles
GqFjHVAAAAAJ,Aravind Prakash,Binghamton University
GqnNG-kAAAAJ,Hairong Qi,University of Tennessee
gr8cON0AAAAJ,Raffi Khatchadourian,CUNY
GR9VzaMAAAAJ,Jie Xiong 0001,University of Massachusetts Amherst
gsid,name,university
gSnisPkAAAAJ,Kartik Gopalan,Binghamton University
gs_WpWIAAAAJ,Calvin J. Ribbens,Virginia Tech
GTmdNU0AAAAJ,Ron O. Dror,Stanford University
gTWUZlsAAAAJ,Stefanie Sabrina Jegelka,Massachusetts Institute of Technology
GU9HgNAAAAAJ,Quanquan Gu,University of California - Los Angeles
